Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Admission_grade,Application_mode,Displaced,Previous_qualification_grade,Status
6,13.416666666666666,6,13.416666666666666,Yes,Yes,19,No,127.5,1st phase - general contingent,Yes,145.0,Graduate
5,11.4,5,12.333333333333334,Yes,No,18,No,123.0,1st phase - general contingent,No,130.0,Graduate
8,14.8125,7,13.1,Yes,No,20,No,100.0,Change of course,Yes,128.0,Graduate
5,12.8,4,13.2,Yes,No,18,No,114.2,1st phase - general contingent,Yes,111.0,Graduate
8,14.75,8,14.75,Yes,Yes,19,No,123.5,1st phase - general contingent,Yes,140.0,Graduate
6,14.333333333333334,6,13.142857142857142,Yes,Yes,19,No,144.3,Technological specialization diploma holders,Yes,140.0,Graduate
5,12.5,4,12.5,Yes,No,19,No,142.2,1st phase - general contingent,No,145.0,Enrolled
5,14.857142857142858,4,13.75,Yes,No,18,No,161.9,1st phase - general contingent,No,151.0,Graduate
6,13.0,5,12.4,Yes,No,18,No,135.9,1st phase - general contingent,No,132.0,Graduate
6,12.0,6,13.333333333333334,Yes,No,18,No,110.1,1st phase - general contingent,Yes,116.0,Graduate
8,12.0,11,11.727272727272728,No,No,28,No,122.5,Ordinance No. 612/93,No,120.0,Dropout
1,14.0,4,12.5,Yes,No,19,No,138.1,2nd phase - general contingent,Yes,158.0,Dropout
0,0.0,0,0.0,Yes,No,20,Yes,117.3,Change of course,Yes,116.0,Dropout
7,13.614285714285714,6,13.533333333333331,Yes,Yes,19,No,106.8,1st phase - general contingent,Yes,112.0,Graduate
6,12.666666666666666,6,13.166666666666666,Yes,Yes,20,No,120.1,1st phase - general contingent,No,126.0,Graduate
5,11.0,5,13.2,Yes,Yes,19,No,116.5,1st phase - general contingent,Yes,120.0,Graduate
4,12.6,5,12.2,Yes,No,21,No,120.0,Change of institution/course,Yes,117.0,Enrolled
7,14.857142857142858,7,13.428571428571429,Yes,Yes,19,No,139.7,1st phase - general contingent,Yes,153.0,Graduate
6,12.625,6,12.714285714285714,Yes,Yes,18,No,123.7,1st phase - general contingent,Yes,124.0,Graduate
0,0.0,0,0.0,Yes,No,19,No,116.5,2nd phase - general contingent,No,127.0,Dropout
6,13.666666666666666,6,13.666666666666666,Yes,Yes,19,No,122.2,2nd phase - general contingent,No,126.0,Graduate
6,13.166666666666666,5,11.0,Yes,No,20,Yes,146.0,1st phase - general contingent,No,133.1,Graduate
6,13.333333333333334,5,11.4,Yes,No,18,No,108.8,2nd phase - general contingent,Yes,114.0,Enrolled
0,0.0,0,0.0,Yes,No,18,No,133.0,Change of course,No,133.0,Enrolled
5,12.0,4,12.0,Yes,No,18,No,123.8,2nd phase - general contingent,No,130.0,Graduate
0,0.0,0,0.0,Yes,No,18,No,120.0,2nd phase - general contingent,No,127.0,Dropout
6,11.666666666666666,5,11.0,Yes,No,18,No,126.9,2nd phase - general contingent,Yes,143.0,Graduate
6,11.571428571428571,5,12.0,Yes,No,20,No,121.3,3rd phase - general contingent,Yes,130.0,Dropout
8,12.55,7,13.308571428571428,Yes,Yes,19,No,129.0,2nd phase - general contingent,Yes,136.0,Graduate
3,10.666666666666666,3,13.666666666666666,No,No,21,Yes,114.9,1st phase - general contingent,Yes,125.0,Dropout
0,0.0,0,0.0,No,No,20,Yes,106.5,2nd phase - general contingent,Yes,110.0,Dropout
4,11.25,5,12.2,Yes,No,18,No,133.9,1st phase - general contingent,Yes,130.0,Graduate
6,12.833333333333334,6,12.666666666666666,Yes,Yes,20,No,124.9,1st phase - general contingent,No,135.0,Graduate
8,14.07125,8,14.07125,Yes,Yes,19,No,128.5,1st phase - general contingent,Yes,133.0,Graduate
5,13.2,4,14.25,Yes,No,22,No,126.2,1st phase - general contingent,Yes,122.0,Dropout
0,0.0,0,0.0,No,No,22,No,121.7,2nd phase - general contingent,Yes,122.0,Dropout
4,10.25,3,12.0,Yes,No,18,No,120.0,1st phase - general contingent,Yes,121.0,Enrolled
7,10.571428571428571,6,11.166666666666666,Yes,No,21,No,113.2,Change of course,No,123.0,Enrolled
5,11.6,2,13.0,Yes,No,19,No,120.3,1st phase - general contingent,Yes,128.0,Graduate
0,0.0,0,0.0,Yes,No,19,No,127.8,1st phase - general contingent,Yes,139.0,Dropout
7,14.901428571428571,7,14.901428571428571,Yes,Yes,20,No,123.3,1st phase - general contingent,Yes,124.0,Dropout
8,12.445555555555554,7,12.65,Yes,Yes,18,Yes,126.3,1st phase - general contingent,Yes,135.0,Graduate
5,10.6,7,11.0,No,No,22,No,128.2,Change of institution/course,No,110.0,Dropout
5,12.666666666666666,4,12.4,Yes,No,20,No,134.9,2nd phase - general contingent,Yes,138.0,Graduate
6,12.666666666666666,6,12.0,Yes,No,19,No,140.0,Technological specialization diploma holders,No,140.0,Graduate
7,13.328571428571427,7,12.135714285714286,Yes,Yes,19,No,115.5,1st phase - general contingent,Yes,126.0,Graduate
6,12.5,5,12.62,Yes,Yes,20,No,106.7,1st phase - general contingent,Yes,113.0,Enrolled
3,11.333333333333334,3,10.666666666666666,Yes,No,25,No,140.0,Over 23 years old,No,120.0,Enrolled
7,14.051428571428572,6,13.766666666666666,Yes,Yes,19,No,136.6,1st phase - general contingent,No,145.0,Graduate
8,13.11625,8,13.11625,Yes,No,19,No,119.3,3rd phase - general contingent,Yes,124.0,Graduate
0,0.0,0,0.0,No,No,19,No,152.0,1st phase - general contingent,Yes,160.0,Dropout
7,13.571428571428571,6,12.7,Yes,No,20,No,144.3,1st phase - general contingent,No,138.0,Graduate
5,11.7,7,11.857142857142858,Yes,No,25,No,159.0,Over 23 years old,Yes,130.0,Enrolled
6,12.333333333333334,6,12.333333333333334,Yes,Yes,20,No,129.5,2nd phase - general contingent,Yes,127.0,Graduate
5,16.4,4,15.75,Yes,No,24,No,140.0,Over 23 years old,Yes,170.0,Enrolled
5,13.2,5,13.333333333333334,Yes,No,20,No,105.4,1st phase - general contingent,No,111.0,Graduate
8,13.49375,7,14.355555555555554,Yes,No,21,No,136.0,Transfer,Yes,100.0,Graduate
5,13.0,6,13.0,Yes,Yes,19,Yes,160.0,Technological specialization diploma holders,No,160.0,Graduate
6,13.5,6,12.833333333333334,Yes,Yes,19,No,139.1,1st phase - general contingent,No,152.0,Graduate
4,13.0,5,13.2,Yes,Yes,21,No,126.9,1st phase - general contingent,No,144.0,Graduate
8,16.582222222222224,7,17.005555555555556,Yes,No,28,No,184.0,Over 23 years old,No,133.8,Graduate
5,11.0,5,10.6,No,Yes,19,Yes,125.0,1st phase - general contingent,Yes,125.0,Graduate
5,13.6,5,14.0,Yes,Yes,18,No,138.5,1st phase - general contingent,No,150.0,Graduate
7,12.114285714285714,7,12.114285714285714,Yes,Yes,18,No,133.5,2nd phase - general contingent,Yes,143.0,Graduate
8,13.05875,8,13.05875,Yes,Yes,18,No,141.5,1st phase - general contingent,Yes,145.0,Graduate
7,13.285714285714286,7,13.285714285714286,Yes,No,22,No,130.0,Transfer,Yes,120.0,Graduate
3,10.666666666666666,4,11.0,Yes,No,19,No,131.0,1st phase - general contingent,Yes,138.0,Enrolled
8,15.1625,7,14.071428571428571,Yes,Yes,18,No,145.0,1st phase - general contingent,No,145.0,Graduate
0,0.0,0,0.0,No,No,20,No,114.3,2nd phase - general contingent,No,122.0,Dropout
3,11.0,4,11.25,No,No,26,No,108.3,Technological specialization diploma holders,No,110.0,Dropout
6,13.625,6,14.0,Yes,Yes,18,No,125.2,1st phase - general contingent,Yes,136.0,Graduate
3,11.666666666666666,6,12.166666666666666,Yes,Yes,21,No,131.7,1st phase - general contingent,Yes,145.0,Dropout
7,13.297142857142855,7,13.297142857142855,Yes,No,18,No,126.3,2nd phase - general contingent,Yes,141.0,Graduate
6,14.25,6,13.923076923076923,Yes,No,20,No,147.6,1st phase - general contingent,Yes,149.0,Graduate
7,12.833333333333334,7,13.37,Yes,No,18,No,125.1,1st phase - general contingent,Yes,130.0,Graduate
3,11.0,5,12.4,Yes,Yes,19,No,123.8,2nd phase - general contingent,No,121.0,Enrolled
4,13.75,4,15.0,Yes,No,20,No,130.8,1st phase - general contingent,Yes,128.0,Dropout
6,12.571428571428571,6,13.333333333333334,Yes,Yes,18,Yes,154.1,1st phase - general contingent,No,152.0,Graduate
4,12.625,3,12.0,Yes,Yes,20,No,122.6,1st phase - special contingent (Madeira Island),Yes,132.0,Enrolled
5,12.2,5,13.4,Yes,No,22,No,103.5,1st phase - general contingent,Yes,107.0,Graduate
0,0.0,0,0.0,Yes,No,18,No,132.8,1st phase - general contingent,Yes,131.0,Enrolled
5,11.4,4,11.5,Yes,No,21,No,100.0,Change of institution/course,No,141.0,Graduate
6,12.166666666666666,6,12.0,Yes,No,18,No,115.8,3rd phase - general contingent,No,120.0,Enrolled
7,13.485714285714284,7,13.485714285714284,Yes,No,18,No,133.8,1st phase - general contingent,No,148.0,Graduate
6,11.285714285714286,6,12.0,Yes,Yes,18,No,118.5,1st phase - general contingent,No,130.0,Graduate
0,0.0,0,0.0,Yes,No,19,No,150.3,2nd phase - general contingent,Yes,145.0,Dropout
3,14.428571428571429,3,10.333333333333334,Yes,No,19,No,107.8,2nd phase - general contingent,Yes,112.0,Enrolled
5,13.76,5,12.94,Yes,No,19,No,127.5,1st phase - general contingent,Yes,138.0,Enrolled
7,13.258571428571427,7,13.258571428571427,Yes,No,19,No,120.5,1st phase - general contingent,Yes,135.0,Graduate
4,12.0,4,12.25,Yes,No,19,No,117.3,1st phase - general contingent,Yes,118.0,Enrolled
1,10.0,3,11.666666666666666,No,No,19,No,120.6,2nd phase - general contingent,Yes,123.0,Dropout
6,12.5,6,13.571428571428571,Yes,Yes,21,No,118.7,1st phase - special contingent (Madeira Island),Yes,126.0,Graduate
5,11.833333333333334,5,11.8,Yes,Yes,20,No,130.8,1st phase - general contingent,No,150.0,Graduate
5,13.285714285714286,5,14.2,Yes,Yes,20,No,112.6,1st phase - general contingent,Yes,121.0,Graduate
5,11.8,5,11.0,Yes,No,41,No,117.2,Over 23 years old,No,133.1,Graduate
7,12.6375,4,13.625,Yes,No,32,No,130.0,Holders of other higher courses,Yes,130.0,Enrolled
7,14.652857142857142,7,14.652857142857142,Yes,No,18,No,131.8,2nd phase - general contingent,Yes,139.0,Graduate
6,11.333333333333334,6,11.333333333333334,Yes,Yes,35,No,97.0,Over 23 years old,No,160.0,Graduate
0,0.0,4,13.7,No,No,32,Yes,130.0,Over 23 years old,No,110.0,Dropout
8,14.75,11,13.727272727272728,Yes,No,37,No,148.0,Over 23 years old,No,140.0,Graduate
7,11.142857142857142,7,11.75,Yes,No,30,No,103.4,Over 23 years old,No,130.0,Dropout
5,13.0,6,12.333333333333334,Yes,No,23,No,127.1,Change of course,No,132.0,Graduate
6,13.857142857142858,6,14.0,Yes,Yes,20,No,124.0,2nd phase - general contingent,Yes,139.0,Dropout
4,11.75,4,11.5,Yes,No,21,No,121.4,1st phase - general contingent,No,135.0,Graduate
5,13.2,5,11.2,Yes,No,19,No,118.1,1st phase - general contingent,No,117.0,Graduate
7,15.07,7,15.07,Yes,Yes,18,No,121.3,2nd phase - general contingent,Yes,137.0,Graduate
1,12.0,1,10.0,Yes,No,18,No,119.5,Transfer,No,144.0,Dropout
5,12.666666666666666,4,12.0,Yes,No,24,No,115.2,Over 23 years old,No,130.0,Enrolled
4,12.6,4,13.0,Yes,No,22,No,130.2,3rd phase - general contingent,Yes,140.0,Graduate
3,11.25,4,11.0,Yes,No,18,No,130.0,2nd phase - general contingent,Yes,130.0,Dropout
5,12.166666666666666,6,13.571428571428571,Yes,No,18,No,126.9,1st phase - special contingent (Madeira Island),Yes,130.0,Graduate
5,14.2,5,14.6,Yes,No,21,No,168.5,1st phase - general contingent,Yes,152.0,Graduate
2,10.0,3,11.833333333333334,Yes,No,38,Yes,130.0,Over 23 years old,No,133.1,Dropout
8,12.5125,7,12.625,Yes,Yes,19,No,122.8,3rd phase - general contingent,No,140.0,Graduate
3,12.333333333333334,4,11.5,Yes,No,36,No,110.0,Over 23 years old,No,133.1,Dropout
4,10.5,4,13.25,Yes,No,18,No,127.1,1st phase - special contingent (Madeira Island),Yes,140.0,Graduate
6,11.9,7,12.60625,Yes,No,19,No,108.5,1st phase - general contingent,Yes,133.1,Graduate
5,13.2,8,13.75,No,No,21,Yes,138.2,Short cycle diploma holders,No,140.0,Dropout
6,11.933333333333332,6,13.598333333333334,Yes,No,19,No,96.0,1st phase - general contingent,Yes,133.1,Enrolled
6,12.285714285714286,5,11.142857142857142,Yes,Yes,18,No,124.5,1st phase - general contingent,No,135.0,Graduate
10,12.96818181818182,11,12.7,Yes,No,45,No,120.0,Holders of other higher courses,Yes,120.0,Enrolled
1,11.0,1,10.0,Yes,No,20,No,132.3,2nd phase - general contingent,Yes,140.0,Dropout
4,11.5,6,11.666666666666666,Yes,No,18,Yes,120.7,2nd phase - general contingent,Yes,128.0,Graduate
6,13.142857142857142,6,14.0,Yes,Yes,18,No,132.6,1st phase - general contingent,No,141.0,Graduate
0,0.0,0,0.0,Yes,No,25,No,140.0,Holders of other higher courses,No,140.0,Dropout
7,12.04142857142857,7,12.04142857142857,Yes,No,19,No,124.5,1st phase - general contingent,Yes,139.0,Graduate
0,0.0,0,0.0,Yes,Yes,18,No,142.0,1st phase - general contingent,Yes,142.0,Graduate
12,14.583333333333334,13,13.76923076923077,Yes,No,39,No,130.0,Holders of other higher courses,No,130.0,Graduate
13,15.307692307692308,18,15.444444444444445,Yes,No,29,No,144.0,Over 23 years old,No,130.0,Graduate
7,12.714285714285714,6,11.5,Yes,No,18,No,128.5,2nd phase - general contingent,Yes,125.0,Enrolled
0,0.0,2,10.0,No,No,23,No,140.0,Holders of other higher courses,No,140.0,Dropout
3,10.333333333333334,4,12.25,Yes,No,21,No,113.9,Transfer,Yes,120.0,Dropout
6,15.166666666666666,6,14.5,No,No,18,No,137.2,1st phase - general contingent,No,147.0,Graduate
6,16.375,6,15.571428571428571,Yes,No,23,No,140.0,Holders of other higher courses,Yes,140.0,Graduate
6,14.714285714285714,6,15.571428571428571,Yes,No,18,No,152.3,1st phase - general contingent,No,161.0,Graduate
6,12.166666666666666,5,13.8,Yes,No,32,No,112.5,Over 23 years old,No,133.1,Graduate
2,14.8,3,10.666666666666666,No,No,29,Yes,101.0,Over 23 years old,No,150.0,Dropout
4,11.75,5,11.6,Yes,Yes,20,Yes,112.3,1st phase - general contingent,Yes,113.0,Graduate
0,0.0,1,13.0,No,No,28,No,114.0,Over 23 years old,Yes,140.0,Dropout
4,13.625,3,12.0,Yes,No,27,No,130.0,Holders of other higher courses,No,130.0,Graduate
12,12.333333333333334,12,12.333333333333334,Yes,No,22,Yes,121.5,Change of course,No,120.0,Graduate
6,12.9,6,12.875,Yes,No,37,Yes,120.0,Over 23 years old,No,133.1,Enrolled
0,0.0,1,11.0,No,No,28,No,130.0,Holders of other higher courses,No,130.0,Dropout
4,10.5,4,12.25,No,No,43,Yes,125.7,Over 23 years old,No,120.0,Dropout
0,0.0,0,0.0,No,No,32,No,128.0,Change of course,Yes,140.0,Dropout
5,11.5,4,10.75,Yes,Yes,20,No,113.2,2nd phase - general contingent,No,123.0,Enrolled
8,13.63,8,13.63,Yes,Yes,35,No,120.0,Over 23 years old,No,133.1,Graduate
4,11.5,3,13.0,Yes,No,21,No,117.8,1st phase - general contingent,Yes,130.0,Graduate
7,12.228571428571428,6,13.533333333333331,Yes,Yes,18,No,121.3,1st phase - general contingent,Yes,126.0,Enrolled
8,16.37777777777778,7,16.9,Yes,Yes,18,No,169.7,1st phase - general contingent,No,176.0,Graduate
4,12.0,5,12.0,Yes,No,18,No,117.7,2nd phase - general contingent,Yes,124.0,Graduate
6,13.285714285714286,6,12.5,Yes,No,22,No,121.8,Technological specialization diploma holders,Yes,120.0,Graduate
7,12.764285714285714,7,12.764285714285714,Yes,No,19,No,128.3,1st phase - general contingent,Yes,140.0,Graduate
5,12.166666666666666,5,13.75,Yes,Yes,18,No,132.2,3rd phase - general contingent,Yes,143.0,Graduate
0,0.0,0,0.0,Yes,No,19,Yes,134.3,1st phase - general contingent,Yes,136.0,Dropout
8,15.68333333333333,7,14.604285714285712,Yes,Yes,18,No,123.4,1st phase - general contingent,No,132.0,Graduate
0,0.0,0,0.0,No,No,31,Yes,121.7,Over 23 years old,No,133.1,Dropout
6,12.5,5,13.833333333333334,Yes,Yes,33,Yes,130.0,Over 23 years old,No,100.0,Graduate
8,13.57625,8,13.57625,Yes,Yes,19,No,126.5,1st phase - general contingent,Yes,137.0,Graduate
6,15.833333333333334,6,15.142857142857142,Yes,Yes,18,No,159.7,2nd phase - general contingent,Yes,153.0,Graduate
5,11.6,3,10.666666666666666,Yes,No,23,No,151.3,1st phase - general contingent,No,160.0,Graduate
6,12.0,5,11.2,Yes,No,20,No,138.0,2nd phase - general contingent,Yes,145.0,Graduate
8,13.76375,8,13.76375,Yes,No,18,No,126.5,1st phase - general contingent,Yes,137.0,Graduate
5,12.2,8,13.25,Yes,No,21,Yes,140.0,Short cycle diploma holders,Yes,140.0,Enrolled
5,12.2,5,10.714285714285714,Yes,Yes,22,No,112.3,1st phase - general contingent,No,120.0,Graduate
6,11.666666666666666,6,12.166666666666666,Yes,No,20,Yes,127.3,1st phase - general contingent,Yes,122.0,Graduate
6,14.357142857142858,6,14.357142857142858,Yes,No,23,No,130.0,Holders of other higher courses,Yes,130.0,Graduate
6,12.666666666666666,6,12.833333333333334,Yes,No,19,No,115.0,2nd phase - general contingent,Yes,133.1,Graduate
7,13.925714285714283,7,13.925714285714283,Yes,No,19,No,131.5,2nd phase - general contingent,Yes,150.0,Graduate
3,11.0,2,12.0,Yes,No,26,No,125.7,Over 23 years old,No,133.1,Dropout
8,13.744444444444444,7,13.44285714285714,Yes,No,18,No,126.8,1st phase - general contingent,Yes,141.0,Graduate
0,0.0,1,16.0,Yes,No,18,No,132.4,3rd phase - general contingent,Yes,146.0,Dropout
6,13.2,6,13.125,Yes,No,20,No,150.0,Technological specialization diploma holders,Yes,150.0,Graduate
0,0.0,0,0.0,Yes,No,19,No,95.0,1st phase - general contingent,No,133.1,Dropout
4,11.0,5,11.4,No,No,32,No,128.2,Change of course,No,120.0,Dropout
3,11.666666666666666,2,11.0,No,No,31,No,130.0,Over 23 years old,No,150.0,Dropout
1,10.0,1,11.0,Yes,No,25,No,100.0,Over 23 years old,No,133.1,Enrolled
5,13.0,5,13.666666666666666,Yes,No,21,No,159.9,Transfer,Yes,140.0,Graduate
1,10.0,4,11.75,No,No,31,No,100.0,Change of course,No,140.0,Dropout
1,13.0,1,10.0,Yes,No,34,No,116.5,Over 23 years old,No,133.1,Dropout
6,12.833333333333334,6,13.5,Yes,Yes,18,No,120.0,1st phase - general contingent,No,128.0,Graduate
0,0.0,0,0.0,Yes,No,19,Yes,117.0,1st phase - general contingent,Yes,117.0,Dropout
1,11.0,1,12.0,Yes,No,21,Yes,140.0,Short cycle diploma holders,Yes,140.0,Enrolled
5,11.8,3,13.0,No,No,18,No,118.1,1st phase - general contingent,Yes,124.0,Dropout
6,16.0,6,14.833333333333334,Yes,No,20,No,153.5,1st phase - general contingent,Yes,158.0,Graduate
6,12.857142857142858,6,11.833333333333334,Yes,No,20,No,127.9,Change of course,Yes,137.0,Graduate
5,12.333333333333334,5,12.0,Yes,Yes,18,No,118.8,2nd phase - general contingent,Yes,123.0,Graduate
6,11.333333333333334,4,12.75,Yes,No,19,No,126.7,1st phase - general contingent,Yes,126.0,Graduate
4,14.75,0,0.0,Yes,No,19,No,170.0,Change of course,Yes,170.0,Enrolled
1,10.0,0,0.0,Yes,Yes,30,No,110.0,Over 23 years old,Yes,133.1,Dropout
6,12.857142857142858,6,12.0,Yes,No,19,No,115.0,2nd phase - general contingent,Yes,115.0,Graduate
8,13.8,7,11.677777777777775,Yes,No,19,No,119.0,1st phase - general contingent,Yes,132.0,Graduate
7,13.6,7,13.6,Yes,Yes,19,No,121.8,1st phase - general contingent,Yes,132.0,Graduate
6,15.875,6,16.0,Yes,No,19,No,133.4,1st phase - general contingent,Yes,143.0,Graduate
6,11.5,5,11.8,Yes,No,20,No,131.4,1st phase - general contingent,Yes,137.0,Graduate
2,14.0,0,0.0,Yes,No,25,Yes,135.0,Transfer,No,130.0,Dropout
0,0.0,0,0.0,Yes,No,19,No,122.8,1st phase - general contingent,No,121.0,Dropout
6,16.2,6,16.142857142857142,Yes,Yes,34,Yes,140.0,Over 23 years old,No,130.0,Graduate
7,11.785714285714286,7,11.785714285714286,Yes,Yes,18,No,125.3,3rd phase - general contingent,Yes,135.0,Graduate
8,13.42375,8,13.42375,Yes,Yes,18,No,126.3,1st phase - general contingent,Yes,137.0,Graduate
5,14.166666666666666,6,12.5,Yes,No,20,No,100.0,1st phase - general contingent,No,100.0,Graduate
7,12.464285714285714,7,12.464285714285714,Yes,Yes,20,No,121.3,2nd phase - general contingent,Yes,127.0,Graduate
5,12.6,8,12.375,Yes,No,23,Yes,135.0,Short cycle diploma holders,No,140.0,Enrolled
0,0.0,1,10.0,Yes,No,28,No,120.0,Over 23 years old,No,140.0,Dropout
6,12.428571428571429,5,12.6,Yes,No,18,No,113.7,2nd phase - general contingent,No,121.0,Enrolled
4,12.4,5,12.6,Yes,No,19,No,129.7,Change of course,Yes,131.0,Graduate
4,12.0,2,10.0,Yes,No,34,No,132.1,1st phase - general contingent,Yes,151.0,Dropout
0,0.0,0,0.0,Yes,No,35,No,120.3,Change of institution/course,No,130.0,Dropout
5,12.333333333333334,5,11.6,Yes,No,32,No,120.0,Holders of other higher courses,No,120.0,Graduate
6,13.5,6,12.166666666666666,Yes,No,19,No,123.1,2nd phase - general contingent,Yes,136.0,Graduate
5,12.666666666666666,4,13.6,Yes,No,18,No,119.4,2nd phase - general contingent,Yes,125.0,Graduate
5,11.8,4,12.5,No,No,35,No,140.0,Over 23 years old,No,133.1,Dropout
4,11.5,4,12.25,Yes,Yes,24,No,116.5,Over 23 years old,No,133.1,Enrolled
6,12.625,6,11.714285714285714,Yes,Yes,20,No,113.0,2nd phase - general contingent,Yes,120.0,Graduate
6,13.0,6,13.5,Yes,Yes,18,No,133.9,1st phase - general contingent,Yes,143.0,Graduate
7,13.024285714285714,7,13.024285714285714,Yes,Yes,20,No,115.5,1st phase - general contingent,Yes,133.1,Graduate
0,0.0,0,0.0,No,No,18,No,116.5,2nd phase - general contingent,Yes,121.0,Dropout
5,18.571428571428573,5,17.333333333333332,Yes,Yes,18,No,171.2,1st phase - general contingent,No,168.0,Graduate
4,11.5,4,11.0,Yes,Yes,20,No,119.1,1st phase - general contingent,No,124.0,Graduate
6,12.5,6,13.666666666666666,Yes,No,19,No,121.1,2nd phase - general contingent,Yes,127.0,Dropout
5,13.8,6,11.375,Yes,Yes,20,No,132.9,1st phase - general contingent,Yes,129.0,Enrolled
6,11.833333333333334,6,12.833333333333334,Yes,No,19,No,132.8,1st phase - general contingent,No,137.0,Graduate
4,11.5,5,12.6,Yes,No,20,No,126.7,1st phase - general contingent,Yes,120.0,Graduate
7,13.771428571428572,6,14.333333333333334,Yes,No,22,No,105.8,1st phase - general contingent,Yes,110.0,Graduate
6,13.625,4,13.5,Yes,Yes,18,No,117.2,2nd phase - general contingent,No,120.0,Enrolled
7,14.285714285714286,7,14.285714285714286,Yes,No,19,No,140.0,1st phase - general contingent,No,143.0,Graduate
2,10.0,3,11.75,Yes,No,22,No,120.0,Technological specialization diploma holders,No,120.0,Dropout
5,17.6,5,14.8,Yes,No,20,No,119.5,2nd phase - general contingent,Yes,124.0,Graduate
0,0.0,0,0.0,No,No,34,Yes,153.9,Over 23 years old,No,168.0,Dropout
0,0.0,1,10.0,Yes,No,24,No,130.0,Over 23 years old,No,133.1,Dropout
0,0.0,0,0.0,Yes,No,26,No,107.0,Over 23 years old,Yes,150.0,Dropout
5,12.38,4,12.6,Yes,No,35,No,132.8,Over 23 years old,No,140.0,Dropout
5,11.8,5,12.428571428571429,Yes,No,22,No,127.5,1st phase - general contingent,Yes,145.0,Graduate
3,12.0,4,10.0,Yes,No,26,No,123.3,3rd phase - general contingent,Yes,118.0,Enrolled
0,0.0,3,12.333333333333334,Yes,No,19,No,122.0,2nd phase - general contingent,No,123.0,Dropout
0,0.0,0,0.0,No,No,19,No,114.8,1st phase - general contingent,Yes,120.0,Dropout
0,0.0,0,0.0,Yes,No,20,Yes,140.0,Technological specialization diploma holders,No,140.0,Graduate
8,13.333333333333334,10,12.1,Yes,No,21,Yes,111.0,Change of institution/course,No,126.0,Graduate
6,15.0,6,14.714285714285714,Yes,Yes,19,No,133.2,1st phase - general contingent,Yes,137.0,Graduate
6,12.833333333333334,6,12.666666666666666,Yes,No,18,No,123.0,1st phase - general contingent,Yes,130.0,Graduate
10,13.3,12,14.384615384615383,Yes,Yes,23,No,150.0,Short cycle diploma holders,No,150.0,Graduate
5,12.2,5,13.4,Yes,Yes,18,No,132.3,2nd phase - general contingent,Yes,147.0,Graduate
7,13.314285714285717,7,13.314285714285717,Yes,No,18,No,126.0,3rd phase - general contingent,Yes,140.0,Graduate
7,11.98857142857143,7,11.98857142857143,Yes,No,19,No,119.3,1st phase - general contingent,Yes,132.0,Graduate
8,12.88888888888889,11,11.545454545454543,Yes,No,21,No,133.8,Short cycle diploma holders,Yes,130.0,Graduate
6,13.875,6,16.46153846153846,Yes,Yes,18,No,126.5,1st phase - general contingent,Yes,130.0,Graduate
6,12.833333333333334,6,13.666666666666666,Yes,Yes,24,No,138.4,1st phase - general contingent,Yes,151.0,Graduate
8,13.411111111111111,7,12.65,Yes,No,18,No,129.0,1st phase - general contingent,Yes,144.0,Dropout
3,12.0,6,12.333333333333334,Yes,No,18,No,118.3,1st phase - general contingent,Yes,127.0,Enrolled
7,14.65,6,14.37,Yes,No,20,No,129.8,2nd phase - general contingent,Yes,131.0,Graduate
4,11.75,3,12.0,Yes,No,19,No,113.6,2nd phase - general contingent,Yes,123.0,Enrolled
3,10.666666666666666,3,12.0,No,Yes,18,No,128.3,1st phase - general contingent,Yes,130.0,Dropout
3,11.0,4,12.0,Yes,Yes,19,No,130.0,Change of course,No,130.0,Dropout
5,11.2,5,12.6,Yes,No,19,No,121.9,2nd phase - general contingent,Yes,131.0,Graduate
6,12.333333333333334,6,12.166666666666666,Yes,No,18,Yes,129.4,1st phase - general contingent,No,135.0,Graduate
6,14.0,6,13.5,Yes,No,20,No,115.3,1st phase - general contingent,Yes,123.0,Enrolled
8,13.76375,8,13.76375,Yes,Yes,18,No,125.5,1st phase - general contingent,Yes,145.0,Graduate
6,12.8,6,12.4,Yes,Yes,19,No,117.8,2nd phase - general contingent,Yes,118.0,Graduate
2,12.0,4,10.666666666666666,Yes,No,18,No,118.7,2nd phase - general contingent,Yes,125.0,Enrolled
6,14.333333333333334,6,14.333333333333334,Yes,No,18,No,139.0,1st phase - general contingent,Yes,152.0,Graduate
2,12.666666666666666,4,12.5,Yes,No,21,No,98.9,1st phase - general contingent,Yes,101.0,Enrolled
0,0.0,1,10.0,No,No,19,Yes,137.7,2nd phase - general contingent,Yes,137.0,Dropout
8,14.622222222222224,7,14.69625,Yes,No,21,No,113.6,1st phase - general contingent,Yes,123.0,Graduate
3,13.75,4,11.5,Yes,No,18,No,113.4,1st phase - general contingent,No,120.0,Enrolled
8,13.9125,7,12.855555555555556,Yes,Yes,18,No,128.5,2nd phase - general contingent,No,131.0,Graduate
8,13.994444444444444,7,13.7,Yes,No,18,No,142.8,1st phase - general contingent,No,141.0,Graduate
1,12.0,0,0.0,No,No,23,No,137.7,1st phase - general contingent,No,144.0,Dropout
4,12.0,3,11.2,Yes,No,20,No,103.5,1st phase - general contingent,Yes,107.0,Enrolled
